Cohort,Section Y1,Midterm Y1,Final Y1,Teacher Midterm Y1,Teacher Final Y1,Section Y2,Exam Y2
2.0,3.0,41,40,2.0,1.0,3.0,33
2.0,2.0,38,29,2.0,1.0,2.0,32
2.0,2.0,19,9,2.0,1.0,2.0,32
2.0,3.0,25,36,2.0,1.0,3.0,32
2.0,2.0,11,,2.0,1.0,2.0,32
2.0,3.0,53,9,2.0,1.0,3.0,31
2.0,2.0,19.5,23,2.0,1.0,2.0,31
2.0,2.0,25,21,2.0,1.0,2.0,30
2.0,3.0,7.5,13,2.0,1.0,3.0,30
2.0,3.0,27,32,2.0,1.0,3.0,29
2.0,3.0,30.5,17,2.0,1.0,3.0,27
2.0,2.0,16.5,11,2.0,1.0,2.0,27
2.0,3.0,15.5,27,2.0,1.0,3.0,24
2.0,2.0,28,15,2.0,1.0,2.0,23
2.0,3.0,34.5,33,2.0,1.0,3.0,22
2.0,2.0,18.5,21,2.0,1.0,2.0,21
2.0,3.0,17,17,2.0,1.0,3.0,21
2.0,2.0,20.5,37,2.0,1.0,2.0,21
2.0,2.0,21.5,9,2.0,1.0,2.0,18
2.0,3.0,19,2,2.0,1.0,3.0,14
2.0,2.0,14,4,2.0,1.0,2.0,11
2.0,2.0,12,16,2.0,1.0,2.0,2
3.0,1.0,88,99,2.0,2.0,1.0,97
3.0,1.0,84.5,76.5,2.0,2.0,1.0,95
3.0,1.0,89,87.5,2.0,2.0,1.0,93
3.0,1.0,68,85.5,2.0,2.0,1.0,91
3.0,1.0,96,97,2.0,2.0,1.0,89
3.0,1.0,91,90.5,2.0,2.0,1.0,89
3.0,1.0,74.5,94,2.0,2.0,1.0,88
3.0,1.0,59.5,74.5,2.0,2.0,1.0,88
3.0,1.0,87,94.5,2.0,2.0,1.0,88
3.0,1.0,66,95.5,2.0,2.0,1.0,87
3.0,1.0,50.5,63.5,2.0,2.0,1.0,86
3.0,1.0,78,89,2.0,2.0,1.0,86
3.0,2.0,59,75.5,3.0,3.0,2.0,86
3.0,1.0,75.5,83.5,2.0,2.0,1.0,85
3.0,1.0,97,97.5,2.0,2.0,1.0,85
3.0,1.0,76,77.5,2.0,2.0,1.0,84
